Date;Confirmed cases;Recovered cases;Death cases
02/03/2020;1;;
03/03/2020;0;;
04/03/2020;0;;
05/03/2020;0;;
06/03/2020;0;;
07/03/2020;0;;
08/03/2020;1;;
09/03/2020;3;;
10/03/2020;1;;
11/03/2020;1;;
12/03/2020;6;;
13/03/2020;3;;
14/03/2020;2;;
15/03/2020;2;;
16/03/2020;4;;
17/03/2020;5;;
18/03/2020;10;;
19/03/2020;15;;
20/03/2020;6;1;
21/03/2020;15;;
22/03/2020;14;;
23/03/2020;25;;
24/03/2020;59;;2
25/03/2020;24;;
26/03/2020;30;;
27/03/2020;51;;3
28/03/2020;34;;
29/03/2020;50;;1
30/03/2020;32;;1
31/03/2020;30;;
01/04/2020;33;4;4
